11.725293	11.725293	Beginning
21.917279	21.917279	 PE
37.052489	37.052489	 PE
45.503856	45.503856	PE
54.228336	54.228336	PE
63.150066	63.150066	PE
71.935238	71.935238	PE
81.134483	81.134483	PE
92.496844	92.496844	PPE
101.343954	101.343954	PE
109.788923	109.788923	PE
118.493338	118.493338	PE
127.111272	127.111272	PE
141.008932	141.008932	PE
149.877663	149.877663	PE
158.495596	158.495596	PPE
167.809710	167.809710	PE
175.562823	175.562823	PE
183.882393	183.882393	PPE
189.343733	189.343733	PPE
196.180136	196.180136	PE
204.529975	204.529975	PE
213.338169	213.338169	PE
223.793845	223.793845	PE
235.602965	235.602965	PEs
252.605330	252.605330	PEs
263.860964	263.860964	PE
276.880832	276.880832	PE
289.299650	289.299650	PE
297.770564	297.770564	PE
306.967927	306.967927	PE
317.985736	317.985736	PPE
321.760676	321.760676	END
