Trial,pp,ID,Condition,Amp,R2PC2byPC1,BPMmode,H,q1,q2,Speed,PathLength,OscTimeProp
1,1,1,1,24.6666666666667,0.290659340260184,14.507525606793,6.19227762330004,6088.69280739629,430712.316239709,65.53511556421,4496.91564151608,0.162927631578947
1,2,2,1,111.333333333333,0.085781522380818,105.180775724979,7.35790666196793,71033.3769828632,4634419.67430997,203.381297940848,12898.2977538563,0.970559210526316
1,3,3,1,104.990215264188,0.235616757648643,26.1220646268935,6.28981634477527,7123.8763420077,563308.828415413,68.4855767219603,4672.56047054406,0.717030165465969
1,4,5,1,55.1272015655577,0.51099854426257,40.1856643356465,6.98289494867509,74545.1556093982,2693781.83026017,107.822748342326,8841.60279396842,0.600559210526316
1,5,6,1,24.6666666666667,0.191795678008529,101.16534659301,7.41911089012334,96088.9134281606,4931679.36018687,196.04392906953,13117.172162962,0.833914473684211
1,6,7,1,68.3561643835616,0.554992579845483,19.1224160624903,6.07202046832098,5043.45879510732,357623.281925281,48.6638698147637,3431.02742032801,0.674769736842105
1,7,8,1,55.6360078277886,0.323377553257107,32.0531944181855,6.87536261884992,36880.6664266835,2063917.62508058,94.6079581071265,7866.82211046944,0.362625853098182
1,8,9,1,24.6666666666667,0.547044103898088,0,6.37824417502481,19407.8825940083,694627.49012032,65.9561077421676,4847.17829678181,0.186513157894737
1,9,10,1,42,0.393470407085901,38.585432659656,6.95023316908531,45803.209081256,2188452.17824125,116.765181217649,8572.51856622263,0.846907894736842
1,10,12,1,33.2485322896282,0.400038888873895,130.330926221998,7.72115491592804,198847.705096927,8558949.85423768,301.809450040577,18540.0710100623,0.822565789473684
1,11,13,1,101.937377690802,0.428213487949621,28.4137149159641,6.48410952980458,22821.0543886897,924450.7208157,64.8777938733251,5234.72163776527,0.406743421052632
1,12,14,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,13,15,1,65.3033268101761,0.87661297368713,0,5.70126309353929,2939.84546016291,162553.047635457,38.1782481483336,2641.07836369859,0.144736842105263
1,14,16,1,68.8649706457926,0.300975580994527,13.9486589857209,6.00229659330985,7116.24351453123,348754.182734893,51.7302758578566,3750.59536852405,0.296854391981008
