pair,gc,condition,trial,trial_collapsed,piece,pval,pval_permut
11,0.013858218,2,3,2,2,0,0
12,0.008869754,2,3,2,2,0,0
1,0.008446616,1,4,2,2,0,0
2,0.009337188,1,4,2,2,0,0
3,0.008697694,1,4,2,2,0,0
4,0.022449163,1,4,2,2,0,0
5,0.021447287,1,4,2,2,0,0
6,0.02460016,1,4,2,2,0,0
7,0.004767288,1,4,2,2,5.41789E-14,0
8,0.007750914,1,4,2,2,0,0
9,0.017807471,1,4,2,2,0,0
10,0.015992287,1,4,2,2,0,0
11,0.012971104,1,4,2,2,0,0
12,0.011379978,1,4,2,2,0,0
1,0.031536507,2,5,3,2,0,0
2,0.008221823,2,5,3,2,0,0
3,0.011180604,2,5,3,2,0,0
4,0.021008608,2,5,3,2,0,0
5,0.018250744,2,5,3,2,0,0
6,0.022339738,2,5,3,2,0,0
7,0.008370124,2,5,3,2,0,0
8,0.009778158,2,5,3,2,0,0
9,0.009648947,2,5,3,2,0,0
10,0.02254198,2,5,3,2,0,0
11,0.02140897,2,5,3,2,0,0
12,0.00587756,2,5,3,2,0,0
1,0.023073782,1,6,3,2,0,0
2,0.006897344,1,6,3,2,0,0
3,0.013753804,1,6,3,2,0,0
4,0.017144805,1,6,3,2,0,0
5,0.017910415,1,6,3,2,0,0
6,0.01157507,1,6,3,2,0,0
7,0.007047727,1,6,3,2,0,0
8,0.007471522,1,6,3,2,0,0
9,0.007062246,1,6,3,2,0,0
10,0.017608575,1,6,3,2,0,0
11,0.009066219,1,6,3,2,0,0
12,0.009254446,1,6,3,2,0,0
1,0.030760483,2,7,4,2,0,0
2,0.0047653,2,7,4,2,5.50671E-14,0
3,0.014358837,2,7,4,2,0,0
4,0.021953835,2,7,4,2,0,0
5,0.017080719,2,7,4,2,0,0
6,0.020901794,2,7,4,2,0,0
7,0.004577687,2,7,4,2,2.72227E-13,0
8,0.003079665,2,7,4,2,6.37843E-08,0
9,0.012241929,2,7,4,2,0,0
10,0.022237807,2,7,4,2,0,0
11,0.022905003,2,7,4,2,0,0
12,0.0106976,2,7,4,2,0,0
1,0.014135076,1,8,4,2,0,0
2,0.012270972,1,8,4,2,0,0
3,0.013441647,1,8,4,2,0,0
4,0.014849716,1,8,4,2,0,0
5,0.01682246,1,8,4,2,0,0
6,0.026342312,1,8,4,2,0,0
7,0.008965353,1,8,4,2,0,0
8,0.005066965,1,8,4,2,4.10783E-15,0
9,0.005756864,1,8,4,2,0,0
10,0.024589216,1,8,4,2,0,0
11,0.020483204,1,8,4,2,0,0
12,0.003879219,1,8,4,2,9.58774E-11,0
