pair,gc,condition,trial,trial_collapsed,piece,pval,pval_permut
2,0.005789607,2,3,2,2,0,0
3,0.016702773,2,3,2,2,0,0
4,0.015183705,2,3,2,2,0,0
5,0.008749671,2,3,2,2,0,0
6,0.0209337,2,3,2,2,0,0
7,0.004458877,2,3,2,2,8.85958E-14,0
8,0.010903058,2,3,2,2,0,0
9,0.005353069,2,3,2,2,0,0
10,0.018907683,2,3,2,2,0,0
11,0.006221483,2,3,2,2,0,0
12,0.00510914,2,3,2,2,3.33067E-16,0
1,0.006537996,1,4,2,2,0,0
2,0.005945655,1,4,2,2,0,0
3,0.011780664,1,4,2,2,0,0
4,0.019190236,1,4,2,2,0,0
5,0.005793692,1,4,2,2,0,0
6,0.003918598,1,4,2,2,9.37239E-12,0
7,0.007536234,1,4,2,2,0,0
8,0.006457051,1,4,2,2,0,0
9,0.005181579,1,4,2,2,1.11022E-16,0
10,0.006601143,1,4,2,2,0,0
11,0.008817956,1,4,2,2,0,0
12,0.005771961,1,4,2,2,0,0
1,0.009977653,2,5,3,2,0,0
2,0.006212612,2,5,3,2,0,0
3,0.003851938,2,5,3,2,1.6573E-11,0
4,0.011063929,2,5,3,2,0,0
5,0.019781336,2,5,3,2,0,0
6,0.008828379,2,5,3,2,0,0
7,0.010177497,2,5,3,2,0,0
8,0.004779645,2,5,3,2,5.44009E-15,0
9,0.006419385,2,5,3,2,0,0
10,0.01473092,2,5,3,2,0,0
11,0.009069004,2,5,3,2,0,0
12,0.005045942,2,5,3,2,5.55112E-16,0
1,0.01131258,1,6,3,2,0,0
2,0.006856079,1,6,3,2,0,0
3,0.004489987,1,6,3,2,6.76126E-14,0
4,0.0140858,1,6,3,2,0,0
5,0.009661222,1,6,3,2,0,0
6,0.008071585,1,6,3,2,0,0
7,0.008028987,1,6,3,2,0,0
8,0.002939535,1,6,3,2,3.4901E-08,0
9,0.003595645,1,6,3,2,1.46509E-10,0
10,0.010646153,1,6,3,2,0,0
11,0.008558245,1,6,3,2,0,0
12,0.004975164,1,6,3,2,9.99201E-16,0
1,0.009504593,2,7,4,2,0,0
2,0.006912722,2,7,4,2,0,0
3,0.011561387,2,7,4,2,0,0
4,0.012258799,2,7,4,2,0,0
5,0.014256656,2,7,4,2,0,0
6,0.011278442,2,7,4,2,0,0
7,0.005672568,2,7,4,2,0,0
8,0.007518469,2,7,4,2,0,0
9,0.006167524,2,7,4,2,0,0
10,0.01157177,2,7,4,2,0,0
11,0.012970301,2,7,4,2,0,0
12,0.003792954,2,7,4,2,2.74146E-11,0
1,0.007867898,1,8,4,2,0,0
2,0.005617855,1,8,4,2,0,0
3,0.004761875,1,8,4,2,6.32827E-15,0
4,0.014563389,1,8,4,2,0,0
5,0.006010779,1,8,4,2,0,0
6,0.011909798,1,8,4,2,0,0
7,0.003260741,1,8,4,2,2.44549E-09,0
8,0.003526328,1,8,4,2,2.63205E-10,0
9,0.002819554,1,8,4,2,9.30631E-08,0
10,0.007255054,1,8,4,2,0,0
11,0.009741201,1,8,4,2,0,0
12,0.005235605,1,8,4,2,1.11022E-16,0
