pair,gc,condition,trial,trial_collapsed,piece,pval,pval_permut
1,0.005408417,1,4,2,2,2.22045E-16,0
2,0.003488843,1,4,2,2,2.37006E-09,0
3,0.007657837,1,4,2,2,0,0
4,0.012495631,1,4,2,2,0,0
5,0.009163764,1,4,2,2,0,0
6,0.016746938,1,4,2,2,0,0
7,0.004111672,1,4,2,2,1.38389E-11,0
8,0.005221617,1,4,2,2,1.11022E-15,0
9,0.006685076,1,4,2,2,0,0
10,0.022989561,1,4,2,2,0,0
11,0.015016921,1,4,2,2,0,0
12,0.016781364,1,4,2,2,0,0
1,0.004901296,2,5,3,2,1.72085E-14,0
2,0.010375426,2,5,3,2,0,0
3,0.011509131,2,5,3,2,0,0
4,0.011542526,2,5,3,2,0,0
5,0.011022654,2,5,3,2,0,0
6,0.015559792,2,5,3,2,0,0
7,0.00869313,2,5,3,2,0,0
8,0.014851203,2,5,3,2,0,0
9,0.013546426,2,5,3,2,0,0
10,0.021553028,2,5,3,2,0,0
11,0.017825428,2,5,3,2,0,0
12,0.023585921,2,5,3,2,0,0
1,0.011447662,1,6,3,2,0,0
2,0.008329213,1,6,3,2,0,0
3,0.022425596,1,6,3,2,0,0
4,0.007161493,1,6,3,2,0,0
5,0.009987518,1,6,3,2,0,0
6,0.013365223,1,6,3,2,0,0
7,0.009911129,1,6,3,2,0,0
8,0.004070333,1,6,3,2,1.955E-11,0
9,0.006280287,1,6,3,2,0,0
10,0.02110431,1,6,3,2,0,0
11,0.01067122,1,6,3,2,0,0
12,0.013683273,1,6,3,2,0,0
1,0.01032521,2,7,4,2,0,0
2,0.007461503,2,7,4,2,0,0
3,0.014693575,2,7,4,2,0,0
4,0.006350577,2,7,4,2,0,0
5,0.012821867,2,7,4,2,0,0
6,0.010299657,2,7,4,2,0,0
7,0.009666289,2,7,4,2,0,0
8,0.004521239,2,7,4,2,4.39426E-13,0
9,0.00531457,2,7,4,2,4.44089E-16,0
10,0.012289212,2,7,4,2,0,0
11,0.018322157,2,7,4,2,0,0
12,0.012713379,2,7,4,2,0,0
1,0.006833781,1,8,4,2,0,0
2,0.006186098,1,8,4,2,0,0
3,0.017268824,1,8,4,2,0,0
4,0.010830567,1,8,4,2,0,0
5,0.005221337,1,8,4,2,1.11022E-15,0
6,0.012247724,1,8,4,2,0,0
7,0.00483571,1,8,4,2,3.01981E-14,0
8,0.008239918,1,8,4,2,0,0
9,0.002852051,1,8,4,2,3.83608E-07,0
10,0.014419195,1,8,4,2,0,0
11,0.006753604,1,8,4,2,0,0
12,0.017518432,1,8,4,2,0,0
