pair,gc,condition,trial,trial_collapsed,piece,pval,pval_permut
3,0.015079636,1,4,2,2,0,0
4,0.006652063,1,4,2,2,0,0
5,0.00603769,1,4,2,2,0,0
6,0.00263926,1,4,2,2,4.17194E-06,0
7,0.021477144,1,4,2,2,0,0
8,0.005276171,1,4,2,2,1.9984E-15,0
9,0.011636169,1,4,2,2,0,0
10,0.02186996,1,4,2,2,0,0
11,0.009703848,1,4,2,2,0,0
12,0.013951043,1,4,2,2,0,0
1,0.01067365,2,5,3,2,0,0
2,0.017447368,2,5,3,2,0,0
3,0.022009558,2,5,3,2,0,0
4,0.011959801,2,5,3,2,0,0
5,0.007568108,2,5,3,2,0,0
6,0.004943126,2,5,3,2,3.45279E-14,0
7,0.018383976,2,5,3,2,0,0
8,0.005254131,2,5,3,2,2.44249E-15,0
9,0.01192862,2,5,3,2,0,0
10,0.01298841,2,5,3,2,0,0
11,0.025043371,2,5,3,2,0,0
12,0.016200709,2,5,3,2,0,0
1,0.008809205,1,6,3,2,0,0
2,0.016051406,1,6,3,2,0,0
3,0.013845886,1,6,3,2,0,0
4,0.006637336,1,6,3,2,0,0
5,0.00656857,1,6,3,2,0,0
6,0.00779789,1,6,3,2,0,0
7,0.016530582,1,6,3,2,0,0
8,0.010800093,1,6,3,2,0,0
9,0.015051038,1,6,3,2,0,0
10,0.014336581,1,6,3,2,0,0
11,0.011974944,1,6,3,2,0,0
12,0.010898905,1,6,3,2,0,0
1,0.009734306,2,7,4,2,0,0
2,0.009487562,2,7,4,2,0,0
3,0.032053821,2,7,4,2,0,0
4,0.006813872,2,7,4,2,0,0
5,0.010731524,2,7,4,2,0,0
6,0.005223813,2,7,4,2,3.21965E-15,0
7,0.013511285,2,7,4,2,0,0
8,0.007709722,2,7,4,2,0,0
9,0.014977103,2,7,4,2,0,0
10,0.017119676,2,7,4,2,0,0
11,0.015753763,2,7,4,2,0,0
12,0.01660632,2,7,4,2,0,0
1,0.015648474,1,8,4,2,0,0
2,0.0081641,1,8,4,2,0,0
3,0.013322554,1,8,4,2,0,0
4,0.007073508,1,8,4,2,0,0
5,0.007557028,1,8,4,2,0,0
6,0.010926225,1,8,4,2,0,0
7,0.012378664,1,8,4,2,0,0
8,0.005889873,1,8,4,2,0,0
9,0.006418664,1,8,4,2,0,0
10,0.022642143,1,8,4,2,0,0
11,0.008441008,1,8,4,2,0,0
12,0.00614258,1,8,4,2,0,0
