13.384112	13.384112	Beginning
24.910315	24.910315	PE
38.981648	38.981648	PE
55.621126	55.621126	PE
64.305008	64.305008	PE
72.742888	72.742888	PE
81.205367	81.205367	PE
90.676457	90.676457	PPE
99.286538	99.286538	PE
107.650617	107.650617	PE
116.014696	116.014696	PE
124.354175	124.354175	PE
137.343098	137.343098	PE
146.174582	146.174582	PE
156.383678	156.383678	PE
165.608765	165.608765	PE
172.915034	172.915034	PE
181.721917	181.721917	PPE
186.518963	186.518963	PPE
193.038024	193.038024	PE
201.131501	201.131501	PE
209.569381	209.569381	PE
219.114271	219.114271	PE
230.454978	230.454978	PEs
246.961734	246.961734	PEs
257.466033	257.466033	PE
269.790750	269.790750	PE
281.746463	281.746463	PE
290.036741	290.036741	PE
299.778433	299.778433	PE
310.331933	310.331933	PPE
314.144969	314.144969	PE
