13.430963	13.430963	Beginning
25.162344	25.162344	PE
39.037823	39.037823	PE
55.366893	55.366893	PE
63.624148	63.624148	PE
71.788682	71.788682	PE
80.249340	80.249340	PE
89.090728	89.090728	PPE
97.509082	97.509082	PE
105.715921	105.715921	PE
114.091972	114.091972	PE
122.256507	122.256507	PE
135.751256	135.751256	PE
144.211914	144.211914	PE
152.714875	152.714875	PPE
161.302443	161.302443	PE
168.663216	168.663216	PE
177.039267	177.039267	PPE
181.819539	181.819539	PPE
188.461155	188.461155	PE
196.625690	196.625690	PE
205.001741	205.001741	PE
214.646891	214.646891	PE
225.688050	225.688050	PEs
241.551783	241.551783	PEs
252.212212	252.212212	PE
264.649380	264.649380	PE
276.875030	276.875030	PE
285.251082	285.251082	PE
294.600109	294.600109	PE
305.387447	305.387447	PPE
309.533170	309.533170	PE
