19.642128	19.642128	Beginning
30.226743	30.226743	PE
45.009346	45.009346	PE
62.166067	62.166067	PE
71.167936	71.167936	PE
79.897771	79.897771	PE
88.479223	88.479223	PE
98.093170	98.093170	PPE
106.983752	106.983752	PE
115.676491	115.676491	PE
124.560891	124.560891	PE
133.179439	133.179439	PE
147.096477	147.096477	PE
155.504816	155.504816	PE
165.829762	165.829762	PPE
175.184039	175.184039	PE
182.937023	182.937023	PE
191.945075	191.945075	PPE
197.311573	197.311573	PPE
204.062975	204.062975	PE
212.533141	212.533141	PE
221.120775	221.120775	PE
231.501365	231.501365	PE
243.149388	243.149388	PEs
259.867145	259.867145	PEs
271.014377	271.014377	PE
283.824729	283.824729	PE
296.449603	296.449603	PE
305.055786	305.055786	PE
314.978863	314.978863	PE
326.033356	326.033356	PPE
329.773830	329.773830	PE
