14.679415	24.147752	1		14.531599	24.159518	1		14.567634	24.147752	1		14.625731	24.168343	1
55.648081	64.180247	2		55.642198	64.103765	2		55.751038	64.218488	2		55.634076	64.144948	2
90.843084	99.26641	3		90.693061	99.257585	3		90.838671	99.203165	3		90.901916	99.232582	3
99.26641	107.611784	4		99.257585	107.630904	4		99.203165	107.669145	4		99.232582	107.60443	4
115.936566	120.190147	5		115.985103	120.17691	5		116.014519	120.188677	5		115.988044	120.17691	5
120.190147	124.323122	6		120.17691	124.312827	6		120.188677	124.280469	6		120.17691	124.248111	6
173.907055	184.957248	7		173.907055	184.368924	7		173.973242	184.264496	7		173.926176	184.39834	7
219.124155	246.807733	8		219.063851	246.943047	8		219.038848	246.895981	8		219.062381	246.884215	8
246.807733	257.254893	9		246.943047	257.278426	9		246.895981	257.318138	9		246.884215	257.268131	9
257.254893	269.650876	10		257.278426	269.63911	10		257.318138	269.662643	10		257.268131	269.669997	10
269.650876	277.772687	11		269.63911	277.727092	11		269.662643	277.772687	11		269.669997	277.765333	11
289.853917	298.965582	12		289.798026	298.874392	12		289.84068	298.90675	12		289.867154	298.886159	12
304.281088	313.435407	13		304.263439	313.386871	13		304.184015	313.387606	13		304.228139	313.394225	13
