33.876359	42.982127	1		33.89527	42.988431	1		33.952004	42.982127	1		33.907878	43.073532	1
74.578104	83.066105	2		74.759337	83.075561	2		74.58756	83.081865	2		74.642718	83.089744	2
108.42452	117.035445	3		108.421369	117.051204	3		108.613633	117.046476	3		108.588418	117.048052	3
117.035445	125.438345	4		117.051204	125.452528	4		117.046476	125.509262	4		117.048052	125.419434	4
133.964168	138.239688	5		133.929498	138.283814	5		134.011446	138.249143	5		133.954713	138.23496	5
138.239688	142.52939	6		138.283814	142.527814	6		138.249143	142.564061	6		138.23496	142.546726	6
190.828732	201.132213	7		190.53088	200.487655	7		190.601797	200.399402	7		190.556095	200.534933	7
234.863586	261.955532	8		234.85413	261.935045	8		234.843099	261.936621	8		234.865162	261.908254	8
261.955532	272.826351	9		261.935045	272.895693	9		261.936621	272.911452	9		261.908254	272.876781	9
272.826351	285.668668	10		272.895693	285.627694	10		272.911452	285.719098	10		272.876781	285.6797	10
285.668668	293.991196	11		285.627694	294.076297	11		285.719098	294.126727	11		285.6797	294.063689	11
306.696407	315.453893	12		306.705862	315.411343	12		306.709014	315.469652	12		306.709014	315.521658	12
320.823113	329.649941	13		320.875119	329.626301	13		320.783714	329.637333	13		320.873543	329.648365	13
