11.82	21.204339	1		11.777103	21.22626	1		11.801947	21.236489	1		11.813637	21.283253	1
54.112714	63.098619	2		54.216471	63.136615	2		54.175553	63.159996	2		54.198934	63.089851	2
92.72624	101.34096	3		92.537725	101.368725	3		92.702858	101.339498	3		92.755467	101.33073	3
101.34096	109.710171	4		101.368725	109.704325	4		101.339498	109.729168	4		101.33073	109.742321	4
118.319045	122.758658	5		118.381883	122.738199	5		118.381883	122.698742	5		118.352656	122.70751	5
122.758658	127.056519	6		122.738199	127.052134	6		122.698742	127.059441	6		122.70751	127.056519	6
176.519184	187.689823	7		176.468036	187.036595	7		176.548411	187.014674	7		176.520645	187.048286	7
223.693359	252.581531	8		223.661209	252.683827	8		223.659748	252.656061	8		223.646595	252.663368	8
252.581531	263.705407	9		252.683827	263.722943	9		252.657522	263.7624	9		252.663368	263.822316	9
263.705407	276.677903	10		263.722943	276.711514	10		263.7624	276.784582	10		263.822316	276.805041	10
276.677903	285.123105	11		276.711514	285.137718	11		276.784582	285.181559	11		276.805041	285.199095	11
297.698111	306.615332	12		297.734645	306.488194	12		297.77264	306.529112	12		297.784331	306.517421	12
312.129045	321.193863	13		312.093972	321.196786	13		311.998984	321.224552	13		312.111509	321.177788	13
